Month,Income (₹),Savings (₹),Rent (₹),Groceries (₹),Transportation (₹),Utilities (₹),Dining Out (₹),Entertainment (₹),Medical (₹),Total Expenditure (₹)
2020-03,21600,2900,7600,1700,1100,700,900,700,1000,14300
2020-03,55900,5900,18400,6000,1600,2000,2400,1700,1600,35000
2020-03,34900,11600,6200,2100,2000,1200,1200,1000,800,14700
2020-03,302200,41700,78800,23100,25300,12200,14500,15500,6800,182800
2020-03,74500,11200,21600,7900,4900,2100,5100,1900,800,44700
2020-03,21000,4500,6900,2300,1300,400,1500,0,200,13300
2020-03,231300,30100,62200,18100,7600,7800,19800,3900,9000,134000
2020-03,52000,10500,15300,5100,4200,2100,2900,1600,2700,35000
2020-03,84200,15300,27400,9600,6500,2200,6000,2400,5200,60300
2020-03,33200,3600,11100,1900,500,1500,800,900,1600,19000
2020-03,248100,45400,61400,17000,17000,8400,16200,5500,9400,136400
2020-03,51500,10300,13600,4100,2300,2000,2800,1600,1800,29000
2020-03,225700,26300,46700,23300,12600,4100,16400,13700,11200,133300
2020-03,87200,18400,21000,8300,2900,3300,4600,2200,2100,45400
2020-03,117300,26000,27200,10800,6100,4100,5900,7300,6700,70400
2020-03,61300,7300,15100,3600,1700,3100,2400,2300,1800,32100
2020-03,85200,17800,21600,9900,2900,3000,7300,1700,2900,49600
2020-03,173700,33700,55100,13000,10500,6300,7800,7500,5300,107900
2020-03,88800,14200,25300,7300,3100,1900,9500,0,4200,52900
2020-03,20000,3300,3400,1900,1200,700,500,600,600,9100
2020-03,37900,7700,11300,5700,2000,1600,3400,1400,1400,27900
2020-03,109400,15800,24200,7700,10700,2900,600,4200,1300,53800
2020-03,60300,12900,11100,4200,2200,1400,3400,2400,1600,27200
2020-03,111200,14700,20000,8800,4800,5600,5000,4500,5100,55800
2020-03,22300,3000,6100,2800,800,600,1600,800,400,13200
2020-03,32900,3400,11000,3100,2600,1300,2600,1300,1000,23900
2020-03,20900,1600,5100,2100,1100,500,2300,500,600,12700
2020-03,78100,14800,25400,8900,3700,2000,3600,3700,1700,50200
2020-03,43700,2700,11600,5400,2900,1300,1800,1000,2000,27600
2020-03,50600,10100,5500,3500,1600,1800,4200,2400,1900,21600
2020-03,48400,8500,14700,5100,1100,2000,2700,1400,2100,30200
2020-03,604000,177100,134100,75200,33600,14700,26600,20100,27600,343200
2020-03,83800,18100,17000,8100,4500,3500,4100,3600,2600,43800
2020-03,60000,12600,18200,3900,2100,1900,2500,3200,3200,35700
2020-03,174900,24400,47100,10400,10000,4900,3200,5400,2100,85600
2020-03,79000,11500,20200,8200,6900,2800,7800,2600,2200,53200
2020-03,80500,12500,21500,4500,4700,3600,5800,0,2600,43900
2020-03,225400,40100,45200,14800,2300,7900,4400,3800,900,82300
2020-03,550300,79800,211300,41400,43100,12500,53600,4000,28200,410500
2020-03,36100,7700,9800,3600,3200,1100,2300,900,600,22000
2020-03,577900,90500,156700,62100,35000,20600,31600,11500,17900,342100
2020-03,55300,13700,14000,3800,3000,1300,4100,1000,2300,30200
2020-03,40900,5300,6000,2100,800,1300,2000,600,2600,15800
2020-03,41100,9200,8700,4700,1300,900,1100,1600,200,18800
2020-03,561700,166200,97900,61900,24600,20400,26100,1800,21900,266800
2020-03,89200,25500,15000,9300,3100,4000,5200,1200,2300,41900
2020-03,51900,6700,7900,5300,2100,1500,1900,1600,2100,22800
2020-03,71000,17700,15300,5500,3700,2700,5200,3200,3100,40100
2020-03,28800,1300,7500,2400,1000,1200,2600,500,1000,16700
2020-03,33400,2900,5400,3100,2700,900,1700,1500,1000,16800
2020-03,17600,3800,5400,1100,900,600,0,0,200,8500
2020-03,22900,4700,6400,2300,1400,900,1300,700,300,13500
2020-03,20800,4500,5100,1900,1300,1000,800,700,900,11700
2020-03,24500,3700,10100,2100,1400,700,1300,400,400,17000
2020-03,45100,5100,11000,5300,2300,800,2400,500,1600,24600
2020-03,36700,2600,11600,3200,2600,1300,1400,1200,1800,23800
2020-03,90700,11600,24900,10000,6700,2900,2300,2700,1000,51700
2020-03,144500,31600,52100,7900,1400,4400,8700,2600,7200,87200
2020-03,57300,13300,19200,6600,1200,1400,2300,1500,2800,35300
2020-03,181600,35900,43400,19600,7100,7100,18800,3800,6400,109900
2020-03,19400,3700,4700,3000,500,500,1300,900,400,11200
2020-03,39700,11200,6600,5500,1400,900,1700,1600,1500,19600
2020-03,33300,8800,8900,3900,1400,1000,1600,1100,900,19300
2020-03,23400,5500,7200,1700,1000,900,1300,1400,500,14100
2020-03,21200,5300,5400,1300,400,300,1300,1000,700,11000
2020-03,37700,7600,13500,2600,1600,700,2800,1800,600,24400
2020-03,23800,5000,6400,2500,1900,500,2100,1300,300,15300
2020-03,34100,4600,11800,4400,1500,1700,2000,900,700,24500
2020-03,60800,12300,15100,3300,3800,2000,4300,700,300,30600
2020-03,34800,4900,6200,2300,1700,700,2500,100,1700,15800
2020-03,70000,17800,15100,6400,3700,2000,4400,2900,2600,38200
2020-03,89600,19500,23100,5000,4300,3400,4900,1400,1500,44700
2020-03,160900,24800,33400,12400,10400,8000,10200,12900,3600,94300
2020-03,28500,6300,4100,3600,1000,400,1200,500,1200,11900
2020-03,134200,33200,16100,15000,7200,2600,4200,2000,6600,54000
2020-03,77800,9900,25700,8900,3000,2100,7500,3200,2500,53500
2020-03,31400,5200,9000,1900,2000,800,2100,1300,800,17800
2020-03,192200,23400,53700,7200,5400,5200,12800,10900,1100,100300
2020-03,585200,103900,159000,45100,36900,16900,31900,15400,14700,327100
2020-03,17600,4600,3900,400,1000,900,1300,800,200,8900
2020-03,24600,4400,7800,2500,600,400,1400,700,300,14100
2020-03,113800,24400,15700,12800,9700,3600,2500,4300,5500,55200
2020-03,156200,23000,17800,10400,9600,5600,7300,4200,4400,61100
2020-03,39200,9100,9600,4200,1100,600,2900,2300,1300,23100
2020-03,31600,5600,8500,3400,1700,1400,1400,2000,1100,20000
2020-03,46400,10500,9200,2600,800,1300,700,600,1300,17300
2020-03,67400,15600,10000,5300,1100,1300,3500,3300,2100,27900
2020-03,87600,10200,26400,6700,6500,4000,1500,1400,2700,50300
2020-03,90000,12500,20800,10600,2300,3300,4700,4300,2100,49300
2020-03,59600,9300,18400,6700,3900,1500,5300,3300,2000,42100
2020-03,203000,58200,71300,21800,14900,7600,5700,3200,5800,132000
2020-03,39300,10300,5800,2900,1200,1300,3000,500,1200,16000
2020-03,32900,6100,9000,4300,3000,500,3400,700,1000,22400
2020-03,143000,49200,39700,13600,7400,2200,13100,6800,8500,90800
2020-03,199700,20200,62300,20900,10200,6700,10800,7400,9000,129100
2020-03,54700,9100,12200,7800,1600,700,2000,1400,2300,29100
2020-03,63900,16000,16900,7000,1900,2600,4100,2600,2400,37900
2020-03,14400,2600,4500,1200,100,200,900,400,500,8200
2020-03,49000,6300,14200,3700,1700,1900,4100,1600,1300,29700
2020-03,56400,11500,20800,2100,4100,2500,3500,2200,2600,40100
2020-03,18400,6300,3700,800,500,600,1300,700,600,8700
2020-03,15700,2000,4300,1800,500,100,600,900,600,9200
2020-03,49900,6800,12700,1500,1200,2100,3900,600,1300,23800
2020-03,33900,3900,8300,4100,800,900,1000,1500,600,17300
2020-03,46600,7200,14000,5300,3200,1400,2100,700,2200,29200
2020-03,40900,10000,11000,2600,1100,900,3100,1000,1300,22300
2020-03,79800,21900,14800,7600,3800,3700,7400,2200,1800,41600
2020-03,32500,3400,10600,3500,1400,1000,2500,800,1100,21500
2020-03,217800,47200,65600,20200,15100,5600,12900,2100,6200,134100
2020-03,59200,13400,21500,7500,2000,2600,3500,1400,3200,42400
2020-03,209700,29200,65200,10100,8700,8100,7800,7100,5200,118000
2020-03,220400,49500,54000,23200,6200,4100,11200,6200,8100,116500
2020-03,66100,13400,16200,4700,2500,2200,800,3400,3100,34000
2020-03,15300,3800,5100,600,500,500,1600,400,600,9600
2020-03,66500,3100,13700,3700,3100,1000,7700,2000,2500,34300
2020-03,77700,15300,15300,5800,6400,3000,900,2500,1700,37100
2020-03,249800,57200,68800,22700,11500,7400,6000,7000,7900,136600
2020-03,44000,10700,6800,2800,3200,2300,4100,1600,1600,23400
2020-03,28100,6400,8000,2100,1900,1200,1100,600,900,16500
2020-03,41600,4500,12200,3200,2000,1300,3900,500,2200,25900
2020-03,77300,20500,18800,4900,5400,2300,6100,2200,2100,43500
2020-03,68000,15300,24400,5000,3700,600,3500,2400,2100,43600
2020-03,76000,13800,25800,8100,1600,2900,6400,2500,5200,54500
2020-03,87200,15900,17900,12200,4300,2600,5200,1500,3700,48600
2020-03,349400,99900,106900,33600,18900,8800,20500,11300,5400,213000
2020-03,41500,9200,13700,3900,3500,1300,3000,1700,1600,28700
2020-03,27700,5200,7400,2400,900,1300,2200,900,1200,16900
2020-03,31100,4000,7100,2400,1800,1400,2600,600,600,16700
2020-03,24500,4100,4500,2600,600,1100,2900,800,600,13500
2020-03,15600,2000,3400,1900,1300,300,1100,900,200,9300
2020-03,15800,1200,2900,900,1200,700,1500,200,500,8200
2020-03,39800,7700,12900,4800,1000,1000,3600,1800,200,25500
2020-03,37100,2800,9000,5100,3100,1400,2900,0,700,23100
2020-03,40400,5700,12000,2400,2900,1500,1900,900,400,23000
2020-03,186100,30000,64800,21900,14000,5300,16300,4400,6500,135400
2020-03,18800,1700,5200,2600,1500,600,1300,900,500,12700
2020-03,88600,21400,30300,9900,6400,1200,2500,5000,3200,59500
2020-03,57800,10000,13600,4900,2500,1800,4900,2700,100,31800
2020-03,464300,19600,133300,52600,37200,12800,9000,17500,8500,279200
2020-03,22700,5200,6200,1500,700,1200,1700,1000,900,13600
2020-03,49900,14300,10500,4000,1700,1500,2300,500,600,21700
2020-03,356500,68000,85000,24200,14600,8100,22800,15500,16200,190400
2020-03,225000,48900,80800,11200,12800,7000,5700,3000,6200,131400
2020-03,168100,33500,39600,15300,5300,3900,7000,3200,2900,81500
2020-03,33000,7100,4700,3300,900,500,1500,1200,600,12900
2020-03,37500,5500,8800,4100,1200,1300,2100,400,1200,19900
2020-03,212400,28700,44000,4200,9100,6400,9600,10300,13400,100000
2020-03,325200,38000,94900,31100,16700,13000,22300,9800,23000,217300
2020-03,56700,10600,17200,5200,2000,2500,4100,600,600,33900
2020-03,69700,15200,19900,4000,1800,3400,3400,3700,2800,40800
2020-03,26700,5800,6200,2000,1500,900,1600,700,1500,14900
2020-03,93700,14500,24800,10600,8100,3500,6900,2600,1100,60300
2020-03,20100,3400,4800,1900,800,700,100,500,400,9200
2020-03,67700,11400,10700,6100,4600,500,4800,0,2300,28900
2020-03,88500,13300,22300,10300,4400,3700,3900,4300,2700,52700
2020-03,64500,4200,28700,10300,4000,2300,0,2000,600,48700
2020-03,35500,6000,6700,2900,2400,1300,1800,1100,1500,18200
2020-03,25300,4100,3300,2500,1300,600,900,1000,900,11000
2020-03,82800,14700,29800,5200,2500,2000,4000,2100,3700,50700
2020-03,31400,4600,9200,4800,800,900,2300,400,1200,20500
2020-03,40200,7900,11300,3000,2900,1400,3300,600,1500,25100
2020-03,20000,6900,4700,700,1300,200,1800,900,600,10200
2020-03,84900,19300,23400,9200,5900,2700,8000,2500,4100,58200
2020-03,45000,6800,11900,1900,2900,2100,1500,2000,500,23900
2020-03,30200,5000,10600,3900,2200,900,2700,1400,400,23200
2020-03,55500,9600,18000,6000,3000,600,1600,2400,2600,35200
2020-03,24500,4600,7400,1400,500,700,2100,1200,600,14400
2020-03,27300,4900,5800,3000,1500,900,2000,500,400,14600
2020-03,495100,75700,136700,39600,42500,16700,31800,19300,21100,317300
2020-03,56000,8400,12100,5800,3200,1800,2100,1300,2200,29000
2020-03,146000,31900,50500,7500,3700,7200,13100,2000,0,85700
2020-03,29000,4800,6100,1400,1900,900,1000,1100,1200,14200
2020-03,203800,43700,51100,20300,19000,6500,12100,8400,4200,125300
2020-03,147600,24600,27100,21600,5700,3600,9100,3700,5500,78900
2020-03,41600,3000,9400,2900,2400,1600,700,1300,1200,20500
2020-03,75100,8800,16800,5100,4500,3500,4800,3000,2900,42000
2020-03,48900,4100,12200,3900,2600,1200,1600,1000,1500,24400
2020-03,88600,17000,17500,4500,5800,2600,8500,3700,1000,46500
2020-03,528000,41200,182200,56300,22100,3600,67400,8700,3100,353000
2020-03,189000,28400,46700,22100,11800,4100,7900,6800,1900,104000
2020-03,549300,86700,122300,57400,40300,27300,27600,6500,7300,299400
2020-03,31400,5200,9900,2700,1400,800,2000,1600,1100,20100
2020-03,204300,47600,84000,12100,13500,6600,1700,8200,9100,139500
2020-03,612100,148900,141800,93000,26000,13900,61900,36800,15500,398200
2020-03,19900,2700,4800,1300,400,700,1000,300,300,9200
2020-03,21900,3900,4600,1400,500,600,1100,900,700,10300
2020-03,247300,38300,75800,9000,14600,8400,19100,7300,100,142500
2020-03,70100,14400,22900,3300,900,2200,4400,600,2800,39400
2020-03,123900,21700,31800,12500,6400,5500,7900,3900,3600,71700
2020-03,36800,7600,8400,2800,1300,1200,3000,1400,1100,20000
2020-03,130700,14600,38900,8400,1300,2800,7400,7800,2900,70500
2020-03,25900,5000,8100,1700,1600,600,800,600,500,14600
2020-03,27800,2700,10300,2100,600,300,2500,1000,100,17500
2020-03,26100,3500,5700,1800,2500,800,1200,900,1100,14300
2020-03,119600,22300,38200,15800,9900,3500,5600,3300,1300,78800
2020-03,110900,7000,29700,8700,5400,5000,7300,3200,2100,62800
2020-03,86000,4200,11900,8100,900,1600,2400,3500,1400,30400
2020-03,84900,9400,31100,7800,4700,2000,5600,2400,3600,60200
2020-03,176700,21900,49600,16400,15300,4100,14800,4700,3800,112400
2020-03,91200,11800,27600,7200,6500,2500,9100,2000,4100,60000
2020-03,212500,31600,69300,16100,15400,3700,16700,1600,8200,136100
2020-03,60600,12000,18300,6600,4900,1600,5300,2700,1000,42000
2020-03,67900,20200,13100,6600,1700,2000,3000,1500,1900,30700
2020-03,62100,8800,19100,4200,4500,1900,5000,3000,300,40000
2020-03,66700,13500,19700,1300,5900,2900,3700,3300,2400,40800
2020-03,241200,61400,34500,17300,9100,7200,21500,15900,4900,114900
2020-03,53700,13100,20200,2600,2300,1600,3400,2000,800,33000
2020-03,30100,4000,7000,1900,2400,1200,2600,1200,800,17600
2020-03,235700,54800,77700,11900,18400,7100,15100,9200,5400,151100
2020-03,82500,21200,19500,10300,2700,1500,3400,2800,2800,44700
2020-03,39900,10800,8900,5000,1000,800,2400,1900,2300,23100
2020-03,442000,121200,112500,49800,21100,8500,22900,12700,22000,260500
2020-03,73700,8400,30100,5900,1500,1300,6800,2800,900,51300
2020-03,27800,5400,11100,1900,900,1400,700,800,1500,19100
2020-03,390500,54100,86900,17600,14200,7500,7100,4000,12000,155200
2020-03,78900,8000,27400,9300,5700,2300,5300,3200,0,55600
2020-03,70300,14700,18400,8200,5500,2100,3600,0,1900,41500
2020-03,16600,3200,6700,1700,1200,500,500,600,100,11700
2020-03,193700,36900,66000,11000,6500,4300,11500,9000,4500,116700
2020-03,45900,7000,12800,3700,2200,1600,3100,1800,2700,28900
2020-03,77300,25300,20500,6700,3200,1100,7000,1400,800,41300
2020-03,193000,52200,58400,7100,10500,3700,2600,10300,1900,95500
2020-03,137600,21300,40400,18300,8900,5700,8900,7900,3900,98000
2020-03,17900,3200,3300,900,700,300,1800,700,300,8300
2020-03,67000,14100,18400,4500,2000,2900,6700,3900,1800,41600
2020-03,40200,9700,8600,1500,3300,1800,2500,2500,1300,22400
2020-03,159800,33400,35600,13400,11400,7000,7200,3300,1200,82600
2020-03,35500,6600,12000,2900,2000,1400,1900,600,1200,22900
2020-03,81900,7800,22500,9800,2400,1300,2900,3400,1500,45700
2020-03,241700,72000,55200,14900,16300,3500,11800,0,11100,114400
2020-03,249400,35400,43700,14300,11600,4700,15500,6700,4200,106800
2020-03,61200,14900,12600,5700,600,1300,4400,1200,1200,28100
2020-03,155800,28300,39900,4300,6200,2600,12700,4200,2500,76000
2020-03,28300,7200,10700,3700,1700,700,1600,300,700,20200
2020-03,206300,21000,38500,10400,9400,7800,11400,5700,1700,86500
2020-03,18500,2600,5200,2700,1100,700,1500,700,700,12900
2020-03,82000,14100,23700,5400,4900,2700,4200,4600,1800,48600
2020-03,203200,25400,70200,9600,5700,5700,15700,7500,8600,129500
2020-03,33700,5000,9100,3600,2100,1000,600,100,1000,17800
2020-03,27500,7100,7900,2900,1800,900,2000,900,1500,18200
2020-03,127600,27200,43700,13600,6300,3200,14400,6500,3300,94800
2020-03,172700,46100,35500,16100,8700,6900,6400,4600,4300,87600
2020-03,50800,9300,16000,8000,2600,900,4900,2000,2000,37200
2020-03,205100,35000,33300,10200,16500,4600,15900,9900,0,95500
2020-03,51200,5200,13500,6700,3000,1100,4200,1700,1200,32900
2020-03,27500,6700,6700,1100,1400,1000,2100,1000,800,14500
2020-03,59900,10200,12500,8400,3600,1100,2600,2300,2400,33400
2020-03,25300,4800,8300,2500,1500,500,700,600,1100,15600
2020-03,486200,71200,161400,66500,23300,16600,34900,13100,22700,346100
2020-03,78900,27700,26400,9200,1800,1700,4500,1300,2000,49400
2020-03,55400,10400,15900,1400,2900,2100,1400,1300,1000,26900
2020-03,63000,8600,10900,5000,3900,2400,3100,2700,1900,31200
2020-03,471200,52000,111700,24700,26300,11600,15900,17900,12300,229700
2020-03,39400,8300,13000,5300,1600,1200,4300,500,200,26700
2020-03,46600,6300,15400,5300,2100,2400,3800,700,1500,32300
2020-03,83100,12700,28600,7900,5800,3200,3000,1800,1400,54300
2020-03,58800,5200,16600,4600,1000,2100,4300,500,1600,31700
2020-03,18200,3300,4500,1900,600,800,600,600,500,9800
2020-03,146900,26900,18000,9000,7700,3000,2100,3000,9100,54300
2020-03,420000,122400,134600,41300,29700,17900,17900,15900,18300,279600
2020-03,44400,6600,11200,3800,3800,1500,2500,2000,1800,26600
2020-03,106100,5100,18300,6900,7200,4700,7400,500,4700,51600
2020-03,347800,58000,109000,38600,13300,8600,28400,7200,8600,224500
2020-03,100900,26000,36300,14800,1500,4400,5200,700,1100,68000
2020-03,28400,6200,9100,1300,2500,400,2200,100,0,16200
2020-03,59500,14600,18300,7000,2000,1600,1200,2300,2300,36300
2020-03,42200,8700,13700,2800,2200,1400,4100,1400,1600,28700
2020-03,59900,9200,4100,6400,2900,2200,1300,1300,1100,20000
2020-03,220700,24800,84000,15800,10700,2000,10500,3500,4500,134200
2020-03,288600,34900,59000,23400,7700,5100,12200,4000,5200,119300
2020-03,604900,87000,127500,50800,52000,11600,14600,19700,10900,295700
2020-03,42100,9200,9600,5500,1400,900,2900,1100,900,23600
2020-03,30600,5400,7200,2700,1600,700,3100,500,1100,17700
2020-03,468800,33800,171100,37400,19300,14800,6900,17000,21500,297000
2020-03,182200,36300,54300,15900,11300,8200,500,6200,5400,107300
2020-03,15200,3900,3200,2200,700,400,600,200,700,8300
2020-03,413100,35200,92200,44100,18100,18800,22400,9500,27100,239500
2020-03,217500,46300,94500,15600,15600,6700,17200,9300,7800,172900
2020-03,59200,3200,16900,8000,2600,1600,2800,2400,1700,37500
2020-03,53600,6800,12300,5100,4200,2200,700,1100,0,26500
2020-03,71600,7400,10500,4600,1800,2000,6600,3900,2800,34200
2020-03,20800,4600,3000,2100,900,500,800,600,600,8800
2020-03,81200,22700,14800,6900,2700,3500,6200,3400,2500,40500
2020-03,235800,57500,62900,4700,11900,7000,7400,3400,6300,107700
2020-03,16600,4000,5600,1700,400,800,900,500,400,10600
2020-03,68300,8500,20700,3900,4300,1800,4700,1100,1000,38000
2020-03,81100,17400,27800,4200,5200,1400,3100,400,3400,47500
2020-03,74500,14500,22300,2400,6000,1700,5300,2200,0,39000
2020-03,385400,42200,67100,36200,25800,9000,19700,9700,14100,188700
2020-03,79700,19500,23100,6800,5300,2300,3900,3700,600,45600
2020-03,89200,18400,26100,10600,5700,2000,8700,1900,4400,61500
2020-03,216300,36100,54400,14300,9900,3800,14900,7400,5400,114900
2020-03,88500,20300,21100,6700,7300,2400,6400,2100,3400,51700
2020-03,38500,7300,9600,5800,2400,1200,3000,600,1300,25000
2020-03,57500,14500,8700,1800,5700,2000,4300,2400,2800,28200
2020-03,37700,11100,6300,4800,3200,1100,2600,800,2200,21800
2020-04,85600,17700,29600,10400,3800,2600,5700,4100,2000,61400
2020-04,578000,69500,160600,51100,41400,23800,39200,4900,25400,362600
2020-04,111100,16800,22600,12300,6200,3600,6100,4800,1900,57700
2020-04,62600,11100,12400,8300,1500,2600,6200,600,2300,35800
2020-04,28200,1700,10200,2600,2100,600,2500,1500,1000,21400
2020-04,38400,3700,9900,4400,2400,1000,2200,1500,500,22600
2020-04,19800,1700,4900,2500,1200,500,1300,500,300,11600
2020-04,183400,37700,38800,8800,6300,5400,13200,8100,6900,91600
2020-04,45200,10900,7900,3000,3000,700,3600,2100,1500,22900
2020-04,110100,9300,43300,4300,5900,5400,11000,4300,3900,81900
2020-04,25600,4300,6800,900,700,800,2100,900,700,13300
2020-04,401800,78900,73500,30200,22400,7500,22400,13400,21300,198300
2020-04,197400,38700,61600,16300,13600,3800,7800,10100,7700,124100
2020-04,33500,10100,10100,1100,2100,1000,2800,1000,1700,20800
2020-04,20200,3800,3500,2100,300,700,1400,600,500,9400
2020-04,28500,3500,6200,2100,1700,1100,1000,1200,1300,15300
2020-04,60600,13600,17700,8100,2600,1800,4900,1500,1500,39300
2020-04,89000,24500,27700,8500,1100,3200,8700,4100,2200,57800
2020-04,76600,7800,15800,7300,4800,2600,4600,3300,900,40800
2020-04,35800,7600,4600,3000,2300,1000,3600,2600,1300,18800
2020-04,61600,11200,17100,5300,3000,1600,4900,1700,900,36500
2020-04,36900,4500,11800,3700,1100,1100,1100,1400,800,22100
2020-04,25700,3600,6600,3000,2000,700,1800,1000,200,15600
2020-04,62100,17100,14800,3100,3800,1900,1000,2600,100,28000
2020-04,51500,11700,19100,3300,3200,1800,3500,1500,1500,34900
2020-04,93500,19200,11100,9200,6400,4300,3200,3500,1800,41900
2020-04,25500,2300,7900,2300,1900,500,1700,800,900,16900
2020-04,66000,14600,20800,7500,3700,2000,5100,2800,1900,45700
2020-04,43100,10600,8900,3000,1200,1400,2000,100,2000,18900
2020-04,40500,4000,4000,5200,1500,1100,4100,1100,2400,20300
2020-04,74000,13400,23200,5500,2900,3000,2700,4600,3500,47300
2020-04,17700,4300,5000,1400,1300,400,100,900,500,9900
2020-04,18200,4200,6500,2200,1000,700,1100,600,700,13600
2020-04,304200,66400,67100,32600,11000,13000,28600,11800,15100,185800
2020-04,476800,87100,129800,71300,21900,16200,28400,18000,10700,313600
2020-04,184900,45300,26400,21900,14100,5200,8400,7300,8000,94400
2020-04,49500,9400,15400,6400,3100,1700,900,800,2500,31600
2020-04,38900,8300,5900,3200,2800,1000,1800,800,1200,17000
2020-04,245200,49200,63100,31700,6800,5600,7700,5000,9100,134000
2020-04,74800,8700,14000,6900,3400,2500,4900,1700,4500,39400
2020-04,20500,2600,5800,500,800,800,1400,1100,400,11100
2020-04,88800,8200,21900,9300,7100,2700,3200,1100,2300,48800
2020-04,21000,3300,5100,2200,1000,700,1100,1200,800,12800
2020-04,288800,66100,73800,16500,11100,15300,27800,10400,4800,167900
2020-04,27700,5500,7300,2800,300,1200,1400,300,800,15100
2020-04,129700,23100,46500,12100,10100,3200,6300,2800,1500,83700
2020-04,67500,17700,19800,8500,5300,2200,4400,2500,100,45700
2020-04,53200,8600,11300,5500,500,1800,1300,600,1800,23400
2020-04,82500,17600,18000,7400,4500,1800,6900,2000,800,42200
2020-04,32600,5200,10800,1600,2200,1200,1600,400,500,19100
2020-04,330000,29800,61100,10200,19600,7400,10200,13000,15000,138000
2020-04,194000,26200,50600,24800,8000,7100,14200,2600,6300,120100
2020-04,608100,81000,86200,61900,18900,30000,29100,4500,17900,259100
2020-04,213300,20200,53700,17700,15600,6100,8100,11100,5200,120900
2020-04,87800,15000,16000,9400,5700,3000,5400,2200,4700,49000
2020-04,477800,64700,102500,39600,30000,15700,41200,11500,30400,281200
2020-04,23000,6200,6300,700,1700,500,1100,900,900,12600
2020-04,35200,5800,10600,4200,3300,800,1300,1000,0,22300
2020-04,30900,4000,6500,3800,1300,1000,100,500,900,14500
2020-04,83700,9600,28300,6700,3600,2600,2000,1700,1200,47200
2020-04,88300,10000,15600,7800,3700,2500,4200,3600,2100,41000
2020-04,28600,6700,9000,2000,900,1100,800,400,1100,15600
2020-04,121200,28800,28000,17600,9000,4200,5200,3600,3800,73800
2020-04,49600,3000,16200,6300,3800,2600,5400,2700,500,38400
2020-04,32900,10200,7600,2200,2300,700,3000,800,600,17800
2020-04,49200,9100,10400,5300,4100,1300,1900,2400,2300,28400
2020-04,39100,9400,11800,2500,2000,1700,2500,600,2100,24000
2020-04,159100,21000,46300,10400,9200,7500,5200,5200,8000,96900
2020-04,22800,2800,5100,1700,1400,500,2300,1100,200,12600
2020-04,405900,67000,120900,29100,16900,10600,25100,8700,10000,231500
2020-04,175900,35600,44100,7600,5000,5000,15200,10300,3400,91700
2020-04,18400,3600,5000,2400,1000,800,700,500,700,11500
2020-04,29000,7300,8200,2800,1200,800,2900,400,700,17500
2020-04,153800,11400,24900,21000,14400,4400,7500,6900,2300,84700
2020-04,160800,37700,41800,13700,3200,4400,2500,8600,8400,85200
2020-04,126900,26800,20000,5800,6200,3900,7100,1400,2700,49600
2020-04,179600,35700,33500,21700,10000,6000,7700,6600,8100,96800
2020-04,26100,2600,6600,2600,900,1300,2200,500,500,15400
2020-04,85000,11200,27900,7000,3500,3800,3800,1200,3600,51200
2020-04,34400,7500,8400,4300,1800,700,2500,600,900,20000
2020-04,100100,3300,23500,5000,2700,2800,4300,3300,1400,44800
2020-04,81500,5400,18600,9700,4700,2500,3200,4000,3900,47800
2020-04,61600,12800,17700,6900,5000,1600,3700,1800,1200,39400
2020-04,30800,6600,5600,3000,1300,1200,2300,1100,1000,16200
2020-04,41800,5700,6800,1900,2700,1800,900,900,400,16300
2020-04,59600,8100,21100,7000,5000,1500,5000,1700,600,43400
2020-04,139500,33100,40300,15700,9800,4200,11600,2400,7400,94400
2020-04,47600,11100,10000,4700,1700,1900,2500,100,1500,23100
2020-04,98200,15700,21100,8700,1900,4000,5400,2200,2800,48000
2020-04,57000,6100,12600,3200,2500,1400,0,2700,1300,24300
2020-04,17800,4800,3000,1000,900,600,1900,0,300,8100
2020-04,245200,25200,58400,16400,2500,5700,12700,11400,9500,118300
2020-04,237800,52400,62200,10200,12000,9600,20700,8300,12200,140500
2020-04,71400,18000,25300,3100,2400,1600,3200,2000,3000,41400
2020-04,213100,38300,57000,16300,10100,6600,12800,4700,8300,120300
2020-04,49700,7200,15500,2500,2200,1300,3600,1800,1300,29700
2020-04,84500,7000,20200,7000,3900,1700,4100,4300,3300,46400
2020-04,65500,12000,14900,6000,4300,1600,1400,2200,3900,35300
2020-04,38600,3600,10000,1800,1200,1000,2200,1000,1000,19100
2020-04,34400,6800,11000,4000,500,1500,800,2400,1200,21300
2020-04,19500,1100,4300,2300,1300,500,700,600,1000,11100
2020-04,56200,4500,15500,1400,3500,1700,2500,300,3300,29000
2020-04,73600,13800,20100,9600,4500,1700,4600,2600,2400,47700
2020-04,70100,16100,18100,7500,2300,2700,3100,1500,3000,38200
2020-04,455300,74200,145900,42300,28300,18500,13400,11200,11900,280400
2020-04,36400,8800,9600,4900,900,1400,2400,1800,1300,23000
2020-04,54200,7900,13600,5100,2400,1400,4100,2300,1400,31900
2020-04,226900,70500,58100,15100,18200,5300,5700,800,10800,117200
2020-04,27900,2800,3100,1300,1700,600,1700,100,1500,10400
2020-04,22400,3100,5600,1900,1100,800,1800,700,300,12700
2020-04,36600,9600,6800,3200,1700,900,2300,1600,1000,18200
2020-04,36600,6000,9000,1400,1000,1400,1100,0,800,15300
2020-04,521100,123500,134600,41300,42900,11200,34400,23300,13100,313100
